Year,Count of CaseNumber,Status
2017,6931,CLOSED
2017,1651,DISPOSED
2017,4330,OPEN
2017,20,PROBATION
2017,13,REVIEW
2018,7001,CLOSED
2018,1883,DISPOSED
2018,3318,OPEN
2018,76,PROBATION
2018,36,REVIEW
2019,6662,CLOSED
2019,1459,DISPOSED
2019,2416,OPEN
2019,125,PROBATION
2019,35,REVIEW
2020,3579,CLOSED
2020,1138,DISPOSED
2020,1990,OPEN
2020,209,PROBATION
2020,4,REVIEW
2021,3888,CLOSED
2021,1270,DISPOSED
2021,2072,OPEN
2021,281,PROBATION
2021,1,REVIEW
2022,4066,CLOSED
2022,1339,DISPOSED
2022,2482,OPEN
2022,256,PROBATION
2022,1,REVIEW
